Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2016-04-22,253.75,86.620003,737.77002,13.61,620.5,67.510002
2016-04-25,251.820007,87.629997,742.210022,13.58,626.200012,67.279999
2016-04-26,253.740005,87.779999,725.369995,13.75,616.880005,68.970001
2016-04-27,251.470001,90.379997,721.460022,13.66,606.570007,69.099998
2016-04-28,247.710007,90.610001,705.059998,14.09,602.0,68.849998
2016-04-29,240.759995,90.910004,707.880005,13.56,659.590027,67.550003
2016-05-02,241.800003,92.059998,714.409973,13.62,683.849976,68.690002
2016-05-03,232.320007,92.050003,708.440002,13.43,671.320007,68.440002
2016-05-04,222.559998,92.739998,711.369995,13.31,670.900024,68.879997
2016-05-05,211.529999,92.980003,714.710022,13.32,659.090027,69.360001
2016-05-06,214.929993,93.949997,725.179993,13.44,673.950012,68.480003
2016-05-09,208.919998,94.889999,729.130005,13.32,679.75,69.830002
2016-05-10,208.690002,95.43,739.380005,13.49,703.070007,68.739998
2016-05-11,208.960007,94.769997,730.549988,13.32,713.22998,65.139999
2016-05-12,207.279999,95.559998,728.070007,13.35,717.929993,75.019997
2016-05-13,207.610001,94.910004,724.830017,13.22,709.919983,73.989998
2016-05-16,208.289993,94.43,730.299988,13.32,710.659973,76.099998
2016-05-17,204.660004,92.410004,720.190002,13.14,695.27002,74.480003
2016-05-18,211.169998,91.849998,721.780029,13.16,697.450012,74.720001
2016-05-19,215.210007,92.199997,715.309998,13.09,698.52002,74.410004
2016-05-20,220.279999,91.209999,721.710022,13.19,702.799988,74.32
2016-05-23,216.220001,91.910004,717.25,13.13,696.75,74.230003
2016-05-24,217.910004,92.690002,733.030029,13.29,704.200012,75.110001
2016-05-25,219.580002,91.769997,738.099976,13.52,708.349976,79.050003
2016-05-26,225.119995,92.18,736.929993,13.46,714.909973,83.389999
2016-05-27,223.039993,92.150002,747.599976,13.45,712.23999,84.82
2016-05-31,223.229996,91.400002,748.849976,13.49,722.789978,85.199997
2016-06-01,219.559998,92.349998,748.460022,13.11,719.440002,85.510002
2016-06-02,218.960007,92.040001,744.27002,13.21,728.23999,86.550003
2016-06-03,218.990005,92.709999,735.859985,13.04,725.539978,86.059998
2016-06-06,220.679993,92.32,730.059998,13.18,726.72998,86.279999
2016-06-07,232.339996,91.779999,731.090027,13.38,723.73999,84.910004
2016-06-08,235.520004,91.860001,742.929993,13.36,726.640015,86.769997
2016-06-09,229.360001,92.370003,742.52002,13.26,727.650024,86.080002
2016-06-10,218.789993,92.220001,733.190002,13.1,717.909973,85.07
2016-06-13,217.869995,91.629997,731.880005,12.98,715.23999,83.589996
2016-06-14,214.960007,91.720001,733.25,12.84,719.299988,83.949997
