,0
237,"236Tibor Pleiss, CPhiladelphia 76ers$3,000,000"
238,"238Nik Stauskas, SGPhiladelphia 76ers$2,993,040"
239,"240Stanley Johnson, SFDetroit Pistons$2,969,880"
240,"241Marquese Chriss, PFPhoenix Suns$2,941,440"
241,"243James Ennis III, SFMemphis Grizzlies$2,898,000"
242,"245Dewayne Dedmon, CSan Antonio Spurs$2,898,000"
243,"247Noah Vonleh, PFPortland Trail Blazers$2,751,360"
244,"249Dennis Schroder, PGAtlanta Hawks$2,708,582"
245,"251Aaron Brooks, PGIndiana Pacers$2,700,000"
246,"253Justise Winslow, SFMiami Heat$2,593,440"
247,"255Randy Foye, SGBrooklyn Nets$2,500,000"
248,"257Malcolm Delaney, PGAtlanta Hawks$2,500,000"
249,"259Myles Turner, CIndiana Pacers$2,463,840"
250,"261Shelvin Mack, PGUtah Jazz$2,433,334"
251,"263Gorgui Dieng, CMinnesota Timberwolves$2,348,783"
252,"265Mason Plumlee, CPortland Trail Blazers$2,328,530"
253,"267Taurean Prince, SFAtlanta Hawks$2,318,280"
254,"269Reggie Bullock, SFDetroit Pistons$2,255,644"
255,"271Devin Booker, SGPhoenix Suns$2,223,600"
256,"273Georgios Papagiannis, CSacramento Kings$2,202,240"
257,"275Andre Roberson, SGOklahoma City Thunder$2,183,072"
258,"277TJ Warren, SFPhoenix Suns$2,128,920"
259,"279Cameron Payne, PGOklahoma City Thunder$2,112,480"
260,"242Dion Waiters, SGMiami Heat$2,898,000"
261,"244Nene Hilario, CHouston Rockets$2,898,000"
262,"246Tomas Satoransky, SFWashington Wizards$2,870,813"
263,"248Frank Kaminsky, PFCharlotte Hornets$2,730,000"
264,"250Jakob Poeltl, CToronto Raptors$2,703,960"
265,"252Elfrid Payton, PGOrlando Magic$2,613,600"
266,"254Thon Maker, CMilwaukee Bucks$2,568,600"
267,"256Richard Jefferson, SFCleveland Cavaliers$2,500,000"
268,"258Doug McDermott, SFOklahoma City Thunder$2,483,040"
269,"260Domantas Sabonis, COklahoma City Thunder$2,440,200"
270,"262Tony Snell, SGMilwaukee Bucks$2,368,327"
271,"264Trey Lyles, PFUtah Jazz$2,340,600"
272,"266Dario Saric, PFPhiladelphia 76ers$2,318,280"
273,"268Tim Hardaway Jr., SFAtlanta Hawks$2,281,605"
274,"270Zach LaVine, PGMinnesota Timberwolves$2,240,880"
275,"272Luc Mbah a Moute, PFLA Clippers$2,203,000"
276,"274Mo Williams, PGDenver Nuggets$2,194,500"
277,"276Joe Ingles, SFUtah Jazz$2,150,000"
278,"278Rudy Gobert, CUtah Jazz$2,121,288"
279,"280Denzel Valentine, SFChicago Bulls$2,092,200"
280,"281Tim Frazier, PGNew Orleans Pelicans$2,090,000"
281,"283Adreian Payne, PFMinnesota Timberwolves$2,022,240"
282,"285Juan Hernangomez, PFDenver Nuggets$1,987,440"
283,"287Jusuf Nurkic, CPortland Trail Blazers$1,921,320"
284,"289James Young, SGBoston Celtics$1,825,200"
285,"291Kevin Seraphin, CIndiana Pacers$1,800,000"
286,"293Quincy Acy, SFBrooklyn Nets$1,790,092"
287,"295Sam Dekker, SFHouston Rockets$1,720,560"
288,"297Henry Ellenson, PFDetroit Pistons$1,704,120"
289,"299Jerian Grant, PGChicago Bulls$1,643,040"
290,"301Bruno Caboclo, SFToronto Raptors$1,589,640"
291,"303Caris LeVert, SGBrooklyn Nets$1,562,280"
292,"305Caron Butler, SFSacramento Kings$1,551,659"
293,"307Justin Anderson, SGPhiladelphia 76ers$1,514,160"
294,"309DeAndre' Bembry, SFAtlanta Hawks$1,499,760"
295,"311Bobby Portis, PFChicago Bulls$1,453,680"
296,"313Malachi Richardson, SGSacramento Kings$1,439,800"
297,"315Marreese Speights, PFLA Clippers$1,403,611"
298,"317Rondae Hollis-Jefferson, SFBrooklyn Nets$1,395,600"
299,"319Nikola Jokic, CDenver Nuggets$1,358,500"
300,"282Kendall Marshall, PGMilwaukee Bucks$2,048,257"
301,"284Kelly Oubre Jr., SFWashington Wizards$2,006,640"
302,"286Lucas Nogueira, CToronto Raptors$1,921,320"
303,"288Terry Rozier, PGBoston Celtics$1,906,440"
304,"290Rashad Vaughn, SGMilwaukee Bucks$1,811,040"
305,"292Wade Baldwin IV, PGMemphis Grizzlies$1,793,760"
306,"294Tyler Ennis, PGLos Angeles Lakers$1,733,880"
