,0,1,2,3,4
147,"Shattered Rainbows (Fallen Angels, #5)",Mary Jo  Putney,4.04,  265,/book/show/638109.Shattered_Rainbows
148,Attachments,Rainbow Rowell,3.95,  262,/book/show/8909152-attachments
149,"When Beauty Tamed the Beast (Fairy Tales, #2)",Eloisa James,4.06,  256,/book/show/8449698-when-beauty-tamed-the-beast
150,"Fifty Shades Trilogy (Fifty Shades, #1-3)",E.L. James,4.13,  251,/book/show/13584236-fifty-shades-trilogy
151,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,4.06,  250,/book/show/1158967.Garden_Spells
152,Mr. Perfect,Linda Howard,4.07,  249,/book/show/11725217-mr-perfect
153,Scaramouche,Rafael Sabatini,4.06,  242,/book/show/938105.Scaramouche
154,Edenbrooke,Julianne Donaldson,4.34,  242,/book/show/13569338-edenbrooke
155,"The Spymaster's Lady (Spymasters, #1)",Joanna Bourne,4.04,  237,/book/show/959745.The_Spymaster_s_Lady
156,"Something Wonderful (Sequels, #2)",Judith McNaught,4.33,  225,/book/show/129616.Something_Wonderful
157,"Poison Study (Study, #1)",Maria V. Snyder,4.16,  215,/book/show/60510.Poison_Study
158,By Arrangement/By Possession (Medieval #1 & #4),Madeline Hunter,4.18,  207,/book/show/221436.By_Arrangement_By_Possession
159,Sunrise Song,Kathleen Eagle,4.15,  203,/book/show/1205099.Sunrise_Song
160,"Falling For Gracie (Los Lobos, #2)",Susan Mallery,4.04,  200,/book/show/601957.Falling_For_Gracie
161,"Complicate Me (The Good Ol' Boys, #1)",M.  Robinson,4.20,  200,/book/show/25701594-complicate-me
162,All Washed Up and Nowhere to Run,Rosamund Snow,3.54,  200,/book/show/29980450-all-washed-up-and-nowhere-to-run
163,The Gladiator,Carla Capshaw,4.16,  198,/book/show/6609581-the-gladiator
164,"Strife (Hidden, #4)",Colleen Vanderlinden,4.12,  197,/book/show/22078365-strife
165,Fruits Basket: The Complete Collection,Natsuki Takaya,4.53,  197,/book/show/8192675-fruits-basket
166,The Outsider,Penelope Williamson,3.97,  196,/book/show/280747.The_Outsider
167,Anonymity,Amber Lea Easton,3.93,  196,/book/show/19548180-anonymity
168,"Slammed (Slammed, #1)",Colleen Hoover,4.29,  193,/book/show/13372690-slammed
169,"Slightly Dangerous (Bedwyn Saga, #6)",Mary Balogh,4.21,  190,/book/show/6297035-slightly-dangerous
170,Always to Remember,Lorraine Heath,4.19,  189,/book/show/692985.Always_to_Remember
171,Heart of the West,Penelope Williamson,4.08,  188,/book/show/1150355.Heart_of_the_West
172,"Match Me If You Can (Chicago Stars, #6)",Susan Elizabeth Phillips,4.13,  187,/book/show/73089.Match_Me_If_You_Can
173,"Simon Says (SBC Fighters, #2)",Lori Foster,4.15,  186,/book/show/155317.Simon_Says
174,Remembrance,Jude Deveraux,4.01,  186,/book/show/251953.Remembrance
175,"Embrace The Darkness (Guardians of Eternity, #2)",Alexandra Ivy,4.15,  185,/book/show/1599297.Embrace_The_Darkness
176,The Scarlet Pimpernel,Emmuska Orczy,4.06,  184,/book/show/18297740-the-scarlet-pimpernel
177,The Night Circus,Erin Morgenstern,4.03,  183,/book/show/9361589-the-night-circus
