"The Magic of You (Malory-Anderson Family, #4)",Johanna Lindsey," 4.17 avg rating _яс 11,728 ratings",score: 819,/book/show/350710.The_Magic_of_You
"When He was Wicked (Bridgertons, #6)",Julia Quinn," 4.03 avg rating _яс 26,181 ratings",score: 811,/book/show/110396.When_He_was_Wicked
"The Lion's Lady (Crown's Spies, #1)",Julie Garwood," 4.16 avg rating _яс 17,271 ratings",score: 783,/book/show/107783.The_Lion_s_Lady
"Naked in Death (In Death, #1)",J.D. Robb," 4.13 avg rating _яс 128,546 ratings",score: 777,/book/show/268602.Naked_in_Death
"Kiss of the Highlander (Highlander, #4)",Karen Marie Moning," 4.31 avg rating _яс 35,008 ratings",score: 735,/book/show/112754.Kiss_of_the_Highlander
"Anne's House of Dreams (Anne of Green Gables, #5)",L.M. Montgomery," 4.12 avg rating _яс 62,020 ratings",score: 702,/book/show/77394.Anne_s_House_of_Dreams
Angles - Part I,Erin Lockwood, 4.45 avg rating _яс 31 ratings,score: 700,/book/show/31818553-angles---part-i
"Drums of Autumn (Outlander, #4)",Diana Gabaldon," 4.34 avg rating _яс 147,290 ratings",score: 698,/book/show/10988.Drums_of_Autumn
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward," 4.21 avg rating _яс 240,273 ratings",score: 696,/book/show/42899.Dark_Lover
Riptide,Amber Lea Easton, 4.02 avg rating _яс 221 ratings,score: 688,/book/show/15849310-riptide
"On the Island (On the Island, #1)",Tracey Garvis-Graves," 4.13 avg rating _яс 64,971 ratings",score: 670,/book/show/15505346-on-the-island
Eleanor & Park,Rainbow Rowell," 4.11 avg rating _яс 588,708 ratings",score: 638,/book/show/15745753-eleanor-park
"Mackenzie's Mission (Mackenzie Family, #2)",Linda Howard," 4.08 avg rating _яс 6,060 ratings",score: 633,/book/show/420744.Mackenzie_s_Mission
Fires of Winter,Johanna Lindsey," 4.03 avg rating _яс 11,773 ratings",score: 630,/book/show/11410988-fires-of-winter
Hummingbird,LaVyrle Spencer," 4.08 avg rating _яс 3,469 ratings",score: 629,/book/show/734611.Hummingbird
"The Shadow and the Star (Victorian Hearts, #2)",Laura Kinsale," 4.02 avg rating _яс 2,842 ratings",score: 608,/book/show/802151.The_Shadow_and_the_Star
Arabella,Georgette Heyer," 4.04 avg rating _яс 11,983 ratings",score: 596,/book/show/311150.Arabella
Sylvester,Georgette Heyer," 4.10 avg rating _яс 10,170 ratings",score: 582,/book/show/1425327.Sylvester
The Thorn Birds,Colleen McCullough," 4.22 avg rating _яс 268,237 ratings",score: 577,/book/show/3412.The_Thorn_Birds
Wuthering Heights,Emily Brontу┴," 3.82 avg rating _яс 1,008,658 ratings",score: 560,/book/show/6185.Wuthering_Heights
"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas," 4.17 avg rating _яс 31,000 ratings",score: 545,/book/show/4066312-smooth-talking-stranger
"The Wedding (Lairds' Fiancу╘es, #2)",Julie Garwood," 4.18 avg rating _яс 23,001 ratings",score: 543,/book/show/107778.The_Wedding
"Sawyer (Buckhorn Brothers, #1)",Lori Foster," 4.03 avg rating _яс 5,568 ratings",score: 516,/book/show/225593.Sawyer
"These Old Shades (Alastair, #1)",Georgette Heyer," 4.06 avg rating _яс 12,189 ratings",score: 483,/book/show/311182.These_Old_Shades
The Color Purple,Alice Walker," 4.17 avg rating _яс 402,830 ratings",score: 470,/book/show/11486.The_Color_Purple
Yours Until Dawn,Teresa Medeiros," 4.09 avg rating _яс 8,148 ratings",score: 454,/book/show/350683.Yours_Until_Dawn
The Windflower,Laura London," 4.06 avg rating _яс 1,596 ratings",score: 449,/book/show/679702.The_Windflower
"Comanche Moon (Comanche, #1)",Catherine Anderson," 4.12 avg rating _яс 6,512 ratings",score: 434,/book/show/133499.Comanche_Moon
"Divergent (Divergent, #1)",Veronica Roth," 4.24 avg rating _яс 2,241,837 ratings",score: 423,/book/show/13335037-divergent
Prince Charming,Julie Garwood," 4.04 avg rating _яс 10,906 ratings",score: 419,/book/show/107777.Prince_Charming
Cry No More,Linda Howard," 4.09 avg rating _яс 11,321 ratings",score: 388,/book/show/187500.Cry_No_More
The Masqueraders,Georgette Heyer," 4.03 avg rating _яс 5,886 ratings",score: 380,/book/show/311201.The_Masqueraders
One Perfect Rose (Fallen Angels #7),Mary Jo  Putney," 4.01 avg rating _яс 2,382 ratings",score: 375,/book/show/264339.One_Perfect_Rose
"Truce (Neighbor from Hell, #4)",R.L. Mathewson," 4.34 avg rating _яс 21,509 ratings",score: 375,/book/show/17352874-truce
"Maid for Love (Gansett Island Series, #1)",Marie Force," 3.98 avg rating _яс 19,850 ratings",score: 366,/book/show/11808919-maid-for-love
"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness," 4.04 avg rating _яс 113,662 ratings",score: 360,/book/show/11559200-shadow-of-night
Memoirs of a Geisha,Arthur Golden," 4.08 avg rating _яс 1,426,124 ratings",score: 357,/book/show/930.Memoirs_of_a_Geisha
Emma,Jane Austen," 3.99 avg rating _яс 502,213 ratings",score: 357,/book/show/15777407-emma
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg," 4.26 avg rating _яс 217,998 ratings",score: 355,/book/show/937207.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
Romeo and Juliet,William Shakespeare," 3.74 avg rating _яс 1,683,652 ratings",score: 352,/book/show/18135.Romeo_and_Juliet
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson," 4.08 avg rating _яс 91,644 ratings",score: 348,/book/show/11381643-playing-for-keeps
Water for Elephants,Sara Gruen," 4.07 avg rating _яс 1,114,675 ratings",score: 347,/book/show/43641.Water_for_Elephants
A Town Like Alice,Nevil Shute," 4.12 avg rating _яс 40,055 ratings",score: 327,/book/show/107301.A_Town_Like_Alice
"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas," 4.18 avg rating _яс 25,269 ratings",score: 325,/book/show/6264710-tempt-me-at-twilight
"This Girl (Slammed, #3)",Colleen Hoover," 4.18 avg rating _яс 61,558 ratings",score: 322,/book/show/15784909-this-girl
Once in a Blue Moon,Penelope Williamson, 4.06 avg rating _яс 429 ratings,score: 312,/book/show/2056222.Once_in_a_Blue_Moon
Mrs. Drew Plays Her Hand,Carla Kelly," 4.07 avg rating _яс 2,141 ratings",score: 308,/book/show/222813.Mrs_Drew_Plays_Her_Hand
Porcelain Keys,Sarah Beard, 4.20 avg rating _яс 298 ratings,score: 300,/book/show/18317952-porcelain-keys
"The Dark Prince (Les Fу╘es: The French Fae Legend, #1)",Emma V. Leech, 3.95 avg rating _яс 607 ratings,score: 299,/book/show/18813405-the-dark-prince
"The Dark Heart (Les Fу╘es: The French Fae Legend, #2)",Emma V. Leech, 4.49 avg rating _яс 278 ratings,score: 298,/book/show/28674084-the-dark-heart
