,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
4727,253U24DL,1,0,0,1,0,0,25,6,0,43,4,0,1,0.0,68,59
4728,926C72DB,1,0,1,0,0,0,15,3,0,69,2,1,1,0.0,33,427
4729,618S99NI,0,0,1,1,0,1,15,11,1,47,3,0,1,0.0,66,79
4730,871K89KH,1,0,0,0,1,0,15,10,0,73,0,1,1,0.0,50,60
4731,799M65MK,1,0,0,1,1,0,25,7,0,55,6,0,1,0.0,62,118
4732,385R08SK,1,1,1,0,0,1,25,5,0,69,4,0,1,0.0,68,65
4735,383D90IO,0,1,0,0,0,1,15,3,1,52,1,1,1,0.0,58,41
4737,422Q88YT,1,0,0,0,1,1,15,10,1,77,3,1,0,0.0,62,55
4743,627N87AB,0,0,1,1,0,0,15,9,1,67,3,1,1,0.0,57,51
4744,312P30CL,0,1,1,0,0,0,15,6,0,63,3,0,1,0.0,38,48
4752,353D05HB,1,0,1,1,1,1,15,9,1,85,5,0,1,0.0,53,55
4753,820K26BX,1,0,0,1,0,0,15,3,0,61,4,1,1,0.0,47,343
4755,891T75IB,1,1,0,0,0,0,25,9,1,73,3,1,1,0.0,72,169
4757,973E75ER,0,0,0,0,0,1,15,3,0,53,4,0,1,0.0,59,57
4758,321H28DC,1,0,0,1,0,0,25,7,0,77,0,0,1,0.0,60,304
4759,033Y43WN,0,0,0,1,0,0,50,6,1,41,4,1,1,0.0,71,98
4761,699G91FE,0,0,0,1,1,1,15,9,1,69,1,1,1,0.0,67,117
4762,982B28JS,0,1,0,1,1,0,25,6,1,58,3,0,1,0.0,44,52
4768,614X96WN,1,0,0,1,1,1,15,10,1,77,4,0,1,0.0,70,97
4770,423C15UF,1,0,1,1,0,0,25,2,0,42,4,1,1,0.0,60,166
4771,776S75KN,1,1,1,0,0,1,15,6,1,51,4,1,1,0.0,48,167
4772,516G31KK,1,0,1,1,0,0,15,3,0,65,5,1,1,0.0,64,430
4775,542E26KQ,1,0,1,1,1,1,15,4,1,41,2,0,1,0.0,60,56
4776,352N60GN,1,0,1,1,0,0,15,3,0,61,4,0,1,0.0,51,47
4777,473O98IS,1,0,0,1,0,0,15,4,0,84,3,1,1,0.0,53,132
4780,640I65UP,1,0,0,0,0,1,15,10,1,80,4,0,1,0.0,54,140
4786,841A38DN,0,1,1,0,1,1,15,6,1,67,1,1,1,0.0,62,51
4787,748R30XL,0,0,1,1,0,1,25,6,0,73,5,1,1,0.0,63,404
4788,022N12IX,0,0,1,0,0,1,15,4,1,58,2,0,1,0.0,68,65
4791,640D23AA,1,1,1,0,0,1,15,8,1,55,5,0,1,0.0,75,431
