,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
5240,050L99KU,0,0,0,0,0,1,15,8,1,70.0,0.0,0.0,1.0,0.0,35,31
5241,154F72KS,1,0,0,0,0,1,25,4,0,47.0,3.0,1.0,1.0,0.0,56,52
5242,331I89EI,0,1,1,0,0,0,15,11,1,81.0,0.0,1.0,1.0,0.0,36,14
5244,117I43DW,0,1,1,0,1,1,50,11,1,74.0,3.0,0.0,1.0,0.0,72,124
5245,317M22VR,1,0,0,1,0,0,15,5,0,39.0,4.0,1.0,1.0,0.0,61,56
5246,854A60RW,1,0,0,0,0,1,15,11,1,79.0,1.0,1.0,1.0,0.0,60,63
5247,347F40SW,0,0,0,1,1,1,15,8,1,62.0,3.0,0.0,1.0,0.0,69,63
5248,001Y83RA,0,0,0,1,0,0,15,3,1,63.0,5.0,1.0,1.0,0.0,50,169
5250,368K68SF,1,0,0,1,1,1,15,6,1,63.0,6.0,0.0,1.0,0.0,60,263
5251,517C89UW,0,0,0,1,1,1,15,3,1,77.0,4.0,0.0,1.0,0.0,72,152
5252,749I12IZ,1,1,0,1,0,1,15,9,1,92.0,6.0,1.0,1.0,0.0,67,65
5254,661N47TN,0,0,1,1,0,0,15,3,0,68.0,4.0,1.0,1.0,0.0,57,29
5255,447V01RZ,1,1,0,1,1,0,25,7,1,60.0,5.0,0.0,1.0,0.0,14,78
5256,230O98GB,0,0,1,1,0,0,15,3,0,49.0,3.0,0.0,1.0,0.0,55,45
5257,278X27GB,0,0,1,1,0,0,15,3,1,63.0,0.0,0.0,1.0,0.0,30,217
5259,407B93JO,1,1,1,0,1,1,15,5,1,70.0,0.0,1.0,1.0,0.0,70,41
5260,087H39BC,1,0,1,1,0,0,15,3,0,71.0,4.0,1.0,1.0,0.0,59,37
5262,053E43DF,1,0,0,1,0,1,15,9,1,76.0,3.0,1.0,1.0,0.0,60,351
5263,540J19JJ,1,0,1,1,0,0,15,3,0,51.0,1.0,1.0,1.0,0.0,49,62
5264,755T96YQ,1,0,0,1,1,0,25,9,0,77.0,1.0,0.0,1.0,0.0,61,75
5265,526D90YT,0,0,0,1,1,1,15,6,1,74.0,3.0,1.0,1.0,0.0,64,90
5266,823L42WH,0,0,1,0,0,0,15,7,1,83.0,1.0,0.0,1.0,0.0,59,20
5268,992E21DM,0,0,0,0,0,1,15,3,1,29.0,0.0,0.0,1.0,0.0,67,36
5270,434B11QY,0,0,0,1,1,0,25,6,1,51.0,4.0,0.0,1.0,0.0,56,93
5271,020S04HW,1,1,1,0,1,1,25,6,1,29.0,1.0,0.0,1.0,0.0,67,126
5272,307Q66MT,1,0,1,1,0,0,25,11,1,63.0,1.0,0.0,1.0,0.0,55,49
5273,883A15DP,1,0,0,1,1,0,25,8,1,76.0,2.0,1.0,1.0,1.0,68,111
5275,225S22HL,1,0,1,0,0,0,25,4,0,28.0,4.0,0.0,1.0,0.0,69,94
5277,777B91LT,1,1,1,1,0,1,15,4,0,50.0,3.0,1.0,1.0,0.0,61,71
5278,589Q41HC,0,0,0,1,0,1,15,9,1,50.0,4.0,0.0,1.0,0.0,68,98
5279,626G65AT,1,0,1,0,1,0,25,5,0,63.0,3.0,0.0,1.0,0.0,29,85
