yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
2005,LAA,1,761,643,162,95,1520,447,29,5624,39,147,278,30,94867822,0.27027027,0.325134387,0.408783784
2005,OAK,2,772,658,162,88,1476,537,52,5627,40,155,310,20,55425762,0.262306735,0.33008312,0.407144127
2005,TEX,3,865,858,162,79,1528,495,48,5716,32,260,311,29,55849000,0.267319804,0.329200445,0.4683345
2005,SEA,4,699,751,162,69,1408,466,48,5507,37,130,289,34,87754334,0.255674596,0.317266425,0.391320138
2005,SLN,1,805,634,162,100,1494,534,62,5538,35,170,287,26,92106833,0.269772481,0.338790728,0.423076923
2005,HOU,2,693,609,163,89,1400,481,72,5462,42,161,281,32,76779000,0.256316368,0.32243685,0.407909191
2005,MIL,3,726,697,162,81,1413,531,73,5448,38,175,327,19,39934833,0.259361233,0.331198686,0.422723935
2005,CHN,4,703,714,162,79,1506,419,50,5584,37,194,323,23,87032933,0.26969914,0.324302135,0.440007163
2005,CIN,5,820,889,163,73,1453,611,62,5565,39,222,335,15,61892583,0.261096137,0.33869683,0.446361186
2005,PIT,6,680,769,162,67,1445,471,72,5573,49,139,292,38,38133000,0.259285842,0.322465531,0.400143549
2005,ATL,1,769,674,162,90,1453,534,45,5486,46,184,308,37,86457302,0.264855997,0.332515137,0.435107546
2005,PHI,2,807,726,162,88,1494,639,56,5542,46,167,282,35,95522000,0.26957777,0.348400446,0.423493324
2005,FLO,3,717,732,162,83,1499,512,67,5502,50,128,306,32,60408834,0.272446383,0.33893329,0.409487459
2005,NYN,3,722,648,162,83,1421,486,48,5505,38,175,279,32,101305821,0.258128974,0.321704789,0.415803815
2005,WAS,5,639,673,162,81,1367,491,89,5426,45,117,311,32,48581500,0.251935127,0.321764998,0.385735348
2005,SDN,1,684,726,162,82,1416,600,49,5502,48,130,269,39,63290833,0.25736096,0.333118245,0.39131225
2005,ARI,2,696,856,162,77,1419,606,55,5550,45,191,291,27,62329166,0.255675676,0.332480818,0.421081081
2005,SFN,3,649,745,162,75,1427,431,49,5462,44,128,299,26,90199500,0.261259612,0.318576679,0.395825705
2005,LAN,4,685,755,162,71,1374,541,67,5433,33,149,284,21,83039000,0.252898951,0.326308857,0.395177618
