,word_finance,freq_finance
888,drained,1
889,hugo,1
890,earnings,9
891,explains,5
892,nrgm,2
893,alibaba,16
894,coming,5
895,response,1
896,short,7
897,anytime,2
898,fundamental,2
899,mkto,2
900,shork,6
901,help,2
902,leigh,2
903,september,2
904,bowl,20
905,soon,3
906,trade,2
907,held,4
908,paper,1
909,through,5
910,surgeon,1
911,developer,2
912,discloses,1
913,rapidly,1
914,botched,1
915,actually,1
916,late,1
917,pch,2
918,ruining,1
919,stephen,3
920,might,2
921,fool,1
922,good,8
923,return,5
924,ceo,28
925,waged,1
926,stepped,1
927,bigger,9
928,loosely,1
929,mastercard,9
930,heavy,1
931,week,11
932,harm,1
933,everyone,1
934,house,1
935,energy,8
936,hard,2
937,positioned,4
938,idea,1
939,slowdown,1
940,expect,2
941,beyond,1
942,insurance,10
943,really,1
944,quincy,1
945,since,25
946,research,4
947,health,4
948,issue,1
949,wisconsin,2
950,belief,1
951,risen,1
952,friday,3
953,backer,3
954,nationally,2
955,reason,2
956,put,5
957,earliest,1
958,terrible,3
959,american,3
960,threat,3
961,disincentive,1
962,fallen,2
963,major,5
964,number,5
965,fancy,1
966,done,1
967,wager,1
968,story,1
969,leading,2
970,least,4
971,regulation,7
972,jed,2
973,entrepreneur,2
974,store,2
975,too,1
976,selling,19
977,option,2
978,inergy,2
979,hotel,9
980,part,9
981,focusing,1
982,believe,1
983,obama,3
984,kind,1
985,grew,8
986,double,2
987,marriage,2
988,toward,1
989,heaviest,1
990,juice,1
991,liedtke,1
992,bhp,1
993,sell,20
994,relationship,2
995,depending,2
996,essentially,1
997,javers,4
998,also,12
999,chairman,1
1000,play,1
1001,added,5
1002,hourly,2
1003,goldman,1
1004,freddie,2
1005,most,11
1006,hired,1
1007,shareholder,5
1008,plan,6
1009,significant,1
1010,xlviii,2
1011,tpg,1
1012,mobile,5
1013,clear,3
1014,sometimes,1
1015,cover,1
1016,traditional,8
1017,latest,1
1018,microsoft,12
1019,phenomenon,2
1020,hopper,1
1021,nasdaq,4
1022,hyped,1
1023,fine,1
1024,find,7
1025,impact,6
1026,giant,2
1027,copyright,6
1028,writer,2
1029,penalty,2
1030,condon,1
1031,dysfunctional,2
1032,equity,7
1033,glut,4
1034,his,6
1035,hit,8
1036,cheaper,1
1037,famous,4
1038,bofa,2
1039,during,7
1040,spiked,1
1041,common,8
1042,activity,1
1043,hype,1
1044,starwood,2
1045,set,5
1046,creator,1
1047,collectively,1
1048,see,12
1049,individual,4
1050,sec,2
1051,are,55
1052,plummeted,1
1053,close,21
1054,angie,2
1055,declined,4
1056,expert,1
1057,movie,2
1058,won,1
1059,probably,5
1060,burned,1
1061,adchoices,8
1062,steelers,4
1063,available,1
1064,recently,1
1065,sold,14
1066,attention,3
1067,coffee,1
1068,both,7
1069,last,6
1070,hesitant,1
1071,restaurant,1
1072,annual,5
1073,foreign,4
1074,cynic,1
1075,bell,1
1076,loan,3
1077,simply,2
1078,expensive,1
1079,decline,8
1080,complication,6
1081,described,4
1082,raise,9
1083,strategy,10
1084,brick,4
1085,territory,3
1086,meeting,2
1087,firm,7
1088,partly,1
1089,priced,6
1090,fund,6
1091,understand,1
1092,representative,1
1093,demand,3
1094,loom,18
1095,look,23
1096,solid,2
1097,straight,1
1098,tip,1
1099,wyatt,2
1100,institute,2
1101,while,9
1102,shift,1
1103,guide,1
1104,real,1
1105,mystic,1
1106,disappointing,1
1107,itself,1
1108,virtu,3
1109,truckmaker,4
1110,rid,2
1111,fannie,2
1112,increased,1
1113,anymore,2
1114,shackle,1
1115,widely,3
1116,higher,6
1117,used,3
1118,flooded,1
1119,yesterday,2
