FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,PCTMARR,HOMEVAL
094S05VJ,0,0,1,1,1,0,50,6,0,69,3,1,1,38,103
978J99AM,0,1,0,0,1,0,25,3,0,63,2,1,1,63,87
888J18YK,1,0,0,1,0,0,15,7,1,56,5,1,1,68,147
253Q91WG,1,0,0,0,1,0,25,6,0,77,3,1,1,57,56
900R77TL,0,0,0,1,0,1,25,3,0,45,4,1,1,61,107
932Z08AU,1,0,1,1,0,0,15,3,0,39,5,1,1,64,394
049V67VP,1,1,1,0,0,0,15,6,0,40,4,1,1,63,45
031N30AZ,0,0,0,1,0,0,50,5,0,38,4,1,1,53,236
299R03WT,0,0,1,0,0,1,15,8,1,61,3,1,1,70,92
582Y25YE,0,0,0,1,0,0,15,6,0,44,2,1,1,63,55
181L37UX,1,1,1,0,0,1,25,4,0,63,3,1,1,57,108
825W10DY,0,0,1,1,0,1,25,3,0,52,4,1,1,61,52
221S60IM,0,1,0,1,1,1,50,10,0,85,4,0,1,54,53
750G23ZI,1,1,1,1,0,0,15,4,0,65,4,0,1,44,293
818Q01PK,0,0,1,1,0,0,15,11,1,76,6,0,1,56,207
600B50TQ,1,0,1,0,0,0,25,7,0,38,3,0,1,65,81
263V61FB,1,0,0,1,0,0,15,2,0,49,3,0,1,51,63
838N24FW,1,0,0,1,0,0,15,3,0,49,3,0,1,63,51
261Z47YR,0,0,0,0,1,1,15,11,1,75,0,0,1,29,35
567Q24WX,1,1,1,1,0,0,15,5,0,81,1,0,1,60,59
013M75RU,1,1,1,0,1,1,25,8,0,56,1,0,1,29,115
537T83CZ,1,1,1,0,0,0,15,6,1,72,0,0,1,45,0
369L52VQ,0,1,1,0,0,1,15,6,1,63,1,1,1,53,73
979J91WS,1,0,1,1,0,0,15,3,0,45,4,1,1,56,50
153K54FT,1,0,0,1,0,0,15,2,0,63,0,0,1,72,52
215G33LC,0,0,0,1,1,1,15,11,1,72,4,0,1,67,85
275I77RA,0,1,0,1,0,1,15,7,1,81,3,1,1,71,113
891T68KM,0,1,1,0,1,0,50,5,1,51,4,1,1,71,103
080H10ZO,0,1,1,1,0,1,25,11,1,81,0,0,1,58,81
361X46MD,1,0,0,1,0,0,15,4,0,63,2,0,1,54,54
311V10AL,1,0,1,0,0,0,25,6,0,71,0,1,1,59,31
040Y26TG,1,0,0,1,0,0,15,3,0,85,1,1,1,52,67
673K30GJ,1,0,1,1,1,0,15,7,1,77,1,1,1,62,62
747C50KS,1,0,0,1,0,0,25,18,0,71,3,1,1,70,146
383J37VE,0,1,0,0,1,1,25,6,0,63,2,0,1,69,55
427Q59ZO,0,0,0,1,0,0,25,9,0,40,4,0,1,61,102
869U80RX,1,0,0,1,0,0,15,6,0,49,3,0,1,63,55
556D95TV,0,1,1,1,0,1,15,10,1,75,4,1,1,56,88
077B59CI,1,0,1,1,0,0,15,3,0,37,3,1,1,66,97
632M86NK,1,1,1,1,0,1,25,4,0,47,1,1,1,61,121
981I04YY,1,1,0,1,0,1,25,11,1,81,1,0,1,63,53
979P95BI,0,1,1,0,0,1,15,3,1,83,0,0,1,41,76
866Q90DC,0,0,0,1,0,1,15,5,0,49,4,1,1,71,81
595E73IR,0,0,1,0,1,1,15,7,1,71,2,0,1,76,82
645F14ZS,1,0,0,1,1,1,25,9,1,63,6,0,1,52,273
539N45IF,0,0,0,1,0,1,15,5,1,63,0,0,1,38,124
287P45ED,1,0,0,1,0,0,25,2,0,63,1,0,1,34,49
599I95EF,0,0,1,1,0,0,25,2,0,63,2,1,1,63,86
523M96NQ,0,0,0,0,1,1,15,7,1,63,3,1,1,49,76
052R51LB,0,1,0,0,0,0,15,5,0,62,4,1,1,65,71
387B84PA,0,0,1,1,0,1,15,6,0,66,1,1,1,66,93
073F25CI,0,1,1,1,0,1,25,10,1,50,4,0,1,68,72
175F37SF,0,0,1,0,0,0,25,5,1,59,5,1,1,58,102
509J39XW,1,0,1,1,0,0,15,3,0,67,2,0,1,64,47
773R66EE,0,0,1,1,0,0,15,3,1,37,5,1,1,55,144
662R44NH,0,0,0,1,1,1,15,6,1,67,1,0,1,70,77
670F02XS,1,1,0,1,0,1,25,4,0,47,3,1,1,66,79
083I29XD,0,1,0,1,1,0,15,10,1,63,3,1,1,65,30
819I03NC,1,1,1,1,1,0,15,11,1,77,4,1,1,60,106
055V58ZT,0,0,1,0,0,1,15,6,1,73,3,1,1,73,220
040Q96HX,1,1,1,1,1,1,50,3,0,65,6,0,1,53,137
643M51XE,0,0,0,1,1,1,15,8,1,56,3,0,1,72,110
298I62MN,0,1,1,0,0,1,25,7,0,81,1,0,1,72,66
044U25DY,1,0,1,1,0,0,15,3,0,63,1,1,1,56,58
180P46TW,0,1,1,0,0,1,15,3,0,63,5,0,1,51,75
686V83OU,1,0,1,0,0,0,15,3,0,79,0,0,1,11,30
379R43SL,1,1,1,0,0,0,25,4,0,33,2,0,1,50,71
375A05BS,0,1,1,0,0,1,25,6,0,80,4,1,1,65,51
561I61IA,1,0,0,0,0,1,25,6,0,58,1,0,1,35,136
482G04AY,1,1,1,0,0,1,25,11,1,82,0,0,1,37,107
407C91JB,0,1,0,1,0,0,50,7,0,81,5,0,1,70,338
438Q04NS,1,0,0,1,0,1,15,11,1,68,1,1,1,50,38
464Z05XW,0,0,0,0,0,1,15,9,1,71,5,0,1,47,40
916S47TA,1,0,0,1,0,1,25,3,0,61,0,0,1,62,93
156G74NU,0,0,0,1,0,0,15,3,0,59,2,1,1,47,68
537A24ST,1,0,1,1,0,0,15,2,0,65,4,0,1,66,179
629O76PV,1,1,1,1,0,0,15,4,0,74,3,0,1,73,74
437T82CQ,1,0,0,1,0,0,15,5,1,68,2,1,1,67,58
785F39HZ,0,0,1,1,1,0,25,7,1,63,4,0,1,62,72
134J63LM,1,1,0,1,0,0,15,9,0,86,4,1,1,65,164
775S24FW,1,0,1,0,0,0,25,4,0,74,1,0,1,61,44
714K98UE,0,1,1,0,0,0,25,10,1,48,5,0,1,53,128
722T14ZG,1,1,1,0,1,0,25,11,1,61,4,1,1,60,47
165M80IH,0,0,1,1,0,0,15,3,1,32,3,1,1,67,184
519F87QO,0,0,0,0,0,1,25,3,0,45,2,0,1,53,70
631K88KF,1,0,0,1,0,0,25,4,0,63,6,0,1,60,83
981E50WL,1,1,1,1,0,1,15,6,0,71,1,0,1,34,95
374Z95NS,1,0,1,1,1,1,15,10,1,69,0,1,1,56,46
071W82AM,1,1,0,0,0,1,15,9,1,35,5,0,1,71,133
398M07VB,0,0,0,0,1,0,15,10,1,77,1,1,1,53,59
751Q50QN,1,0,0,0,0,1,25,10,1,76,1,1,1,55,66
834O79QE,0,0,1,0,0,0,50,9,1,39,3,0,1,71,124
005H89WP,1,0,1,1,0,0,15,3,0,63,1,0,1,65,83
064K26YZ,0,0,0,1,0,1,15,3,1,63,0,0,1,66,76
979G09UW,1,0,0,0,0,1,15,9,1,66,2,0,1,62,314
114Y18WJ,0,1,1,1,0,1,15,6,0,73,5,1,1,68,85
946R77MV,1,0,0,0,0,1,50,9,1,79,5,0,0,59,57
275G48FA,0,0,0,1,0,0,15,4,1,68,4,1,1,63,50
840P32OJ,1,0,0,1,0,0,25,6,0,51,1,0,1,69,38
860B70QA,0,0,1,0,1,1,25,7,0,69,1,1,1,52,58
832S14KS,1,0,1,1,0,0,15,2,0,59,6,0,1,69,49
352N85SI,1,0,0,1,0,0,15,3,0,90,0,0,1,49,64
