Source,Target,Type,id,label,timeset,weight
digitalhomeboy,LifetimeTV,Directed,438,,,1.0
MelissaHLeon,Variety,Directed,439,,,1.0
MelissaHLeon,LifetimeTV,Directed,440,,,1.0
tonybutler1,KatStarczewski,Directed,441,,,1.0
tonybutler1,derbymuseums,Directed,442,,,1.0
tonybutler1,LiamRSharp,Directed,443,,,1.0
JoeySalmingo,Variety,Directed,444,,,1.0
JoeySalmingo,GalGadot,Directed,445,,,1.0
JoeySalmingo,PattyJenks,Directed,446,,,1.0
JoeySalmingo,lifetimetv,Directed,447,,,1.0
Brinna_Jae,Variety,Directed,448,,,2.0
Brinna_Jae,LifetimeTV,Directed,449,,,1.0
NenemDobrev,Variety,Directed,450,,,1.0
NenemDobrev,GalGadot,Directed,451,,,1.0
NenemDobrev,PattyJenks,Directed,452,,,1.0
NenemDobrev,lifetimetv,Directed,453,,,1.0
1luvbooks,Variety,Directed,454,,,1.0
1luvbooks,LifetimeTV,Directed,455,,,1.0
LewisxoxMaddie,channingtatum,Directed,456,,,1.0
lina_drisse,Variety,Directed,457,,,1.0
lina_drisse,KellyClarkson,Directed,458,,,1.0
anavitoriadme,Variety,Directed,459,,,1.0
anavitoriadme,GalGadot,Directed,460,,,1.0
anavitoriadme,PattyJenks,Directed,461,,,1.0
anavitoriadme,lifetimetv,Directed,462,,,1.0
Kernow_Life,NewlynFilmhouse,Directed,463,,,2.0
_execute_testa,m1211nasu,Directed,464,,,1.0
Brinna_Jae,GalGadot,Directed,466,,,1.0
Brinna_Jae,PattyJenks,Directed,467,,,1.0
Brinna_Jae,lifetimetv,Directed,468,,,1.0
MikeSchmidt09,The_GWW,Directed,469,,,1.0
MikeSchmidt09,wehaveahulkpod,Directed,470,,,1.0
MikeSchmidt09,startrekcbs,Directed,471,,,1.0
MikeSchmidt09,TheOrville,Directed,472,,,1.0
ArtBarroni,PosterPosse,Directed,473,,,1.0
LadyVeteran25,Variety,Directed,474,,,1.0
LadyVeteran25,LifetimeTV,Directed,475,,,1.0
FamilyOfAngels_,WarnerBrosUK,Directed,476,,,1.0
ohmariateresac,Variety,Directed,477,,,1.0
ohmariateresac,LifetimeTV,Directed,478,,,1.0
WhiteRoninFilms,theweeklyreview,Directed,479,,,1.0
carlahebling,Variety,Directed,480,,,1.0
carlahebling,LifetimeTV,Directed,481,,,1.0
DamianNixey,theweeklyreview,Directed,482,,,1.0
Pikabug1,theTelluris,Directed,483,,,1.0
alfredo_tigolo,thisisbenoliver,Directed,484,,,1.0
elizabetm1,GlassCastleFilm,Directed,485,,,1.0
elizabetm1,BookishHQ,Directed,486,,,1.0
motioncitycutie,AlertBot,Directed,487,,,1.0
motioncitycutie,WonderWomanFilm,Directed,488,,,1.0
