,word_finance,freq_finance
1336,incentive,1
1337,instance,1
1338,accuracy,1
1339,worldwide,1
1340,visa,8
1341,eight,3
1342,awi,3
1343,device,3
1344,expired,1
1345,payment,8
1346,delivery,4
1347,halved,3
1348,weisbaum,1
1349,businessman,1
1350,emerging,10
1351,agreed,1
1352,bring,1
1353,portfolio,3
1354,rough,1
1355,debate,3
1356,principal,1
1357,based,2
1358,earned,1
1359,winner,2
1360,brighten,3
1361,bernard,1
1362,slows,3
1363,seizing,1
1364,overall,3
1365,accel,2
1366,pave,1
1367,fraud,2
1368,buyer,4
1369,bronco,9
1370,organ,1
1371,brain,1
1372,numerous,1
1373,calling,1
1374,reid,1
1375,mercedes,4
1376,view,1
1377,national,2
1378,legacy,1
1379,reform,1
1380,clearing,1
1381,tend,1
1382,state,6
1383,closed,6
1384,privco,1
1385,jos,12
1386,ability,1
1387,renren,1
1388,job,7
1389,key,1
1390,declining,1
1391,thank,1
1392,marty,3
1393,taking,1
1394,equal,2
1395,roil,1
1396,april,1
1397,passing,1
1398,otherwise,1
1399,comment,2
1400,wall,19
1401,invasive,1
1402,tuesday,10
1403,brennan,4
1404,table,1
1405,outsider,1
1406,addition,1
1407,cent,1
1408,bby,2
1409,define,1
1410,diversity,10
1411,vinci,7
1412,listing,3
1413,ssys,2
1414,hmo,1
1415,bull,1
1416,hesitant,1
1417,value,14
1418,expiration,3
1419,uncertainty,1
1420,almost,6
1421,site,4
1422,linkedin,3
1423,heating,2
1424,hardware,5
1425,partner,11
1426,quirkiest,1
1427,perhaps,1
1428,began,3
1429,adverse,1
1430,slammed,18
1431,largest,6
1432,party,1
1433,practice,1
1434,http,14
1435,preparers,1
1436,reporting,1
1437,diploma,1
1438,robotic,2
1439,transaction,1
1440,reflection,1
1441,yingli,4
1442,well,12
1443,usual,1
1444,loeb,1
1445,executive,6
1446,web,1
1447,supply,2
1448,smith,3
1449,nastier,1
1450,realize,1
1451,shunfeng,4
1452,smart,2
1453,definitive,2
1454,five,9
1455,know,11
1456,press,4
1457,immediately,1
1458,loss,1
1459,motorola,8
1460,like,9
1461,success,1
1462,lose,2
1463,become,1
1464,heel,1
1465,thiel,3
1466,twitter,15
1467,authority,2
1468,francisco,1
1469,choosing,1
1470,home,5
1471,peter,1
1472,happens,2
1473,competitor,3
1474,morris,3
1475,coombs,7
1476,keystone,9
1477,salaried,2
1478,leader,3
1479,schedule,1
1480,expansion,1
1481,pressure,5
1482,host,3
1483,expire,1
1484,panel,12
1485,getting,2
1486,basis,1
1487,statement,3
1488,outstripped,1
1489,software,4
1490,photovoltaic,4
1491,previously,1
1492,washington,6
1493,three,9
1494,cancerous,1
1495,registration,1
1496,networking,6
1497,additional,6
1498,biggest,15
1499,building,7
1500,buy,15
1501,brand,5
1502,volume,7
1503,construction,3
1504,gain,10
1505,squeeze,1
1506,valuation,3
1507,made,6
1508,yelp,1
1509,behemoth,4
1510,whether,6
1511,official,18
1512,flip,1
1513,windfall,1
1514,problem,14
1515,gynecological,1
1516,stirring,1
1517,marketplace,1
1518,handset,4
1519,proceeds,7
1520,inc,36
1521,mutual,1
1522,compared,1
1523,percent,35
1524,detail,1
1525,virtual,4
1526,lately,1
1527,incredibly,2
1528,chavez,1
1529,monday,3
1530,bailing,2
1531,marlboro,3
1532,june,1
1533,shown,1
1534,stay,1
1535,chance,2
1536,cliff,1
1537,sentiment,1
1538,pincus,1
1539,portion,1
1540,pension,2
1541,gynecologist,1
