player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Reggie Jackson,PG,26,DET,52,50,27.4,5.5,13,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.468,2.3,2.3,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5,14956522
LeBron James,SF,32,CLE,74,74,37.8,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,4.8,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,30963450
Al Jefferson,C,32,IND,66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,10314532
Richard Jefferson,SF,36,CLE,79,13,20.4,1.9,4.3,0.446,0.8,2.4,0.333,1.2,2,0.58,0.536,1,1,0.741,0.4,2.2,2.6,1,0.3,0.1,0.7,1.9,5.7,2500000
John Jenkins,SG,25,PHO,4,0,3.3,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,0.5,1,0,0.3,0.3,0.3,0,0,0,0,1.8,1050961
Jonas Jerebko,PF,29,BOS,78,6,15.8,1.5,3.4,0.435,0.6,1.7,0.346,0.9,1.7,0.523,0.521,0.3,0.3,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,5000000
Amir Johnson,PF,29,BOS,80,77,20.1,2.7,4.6,0.576,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,0.8,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1,2.6,6.5,12000000
Brice Johnson,PF,22,LAC,3,0,3,0.7,2.3,0.286,0,0,0,0.7,2.3,0.286,0.286,0,0,0,0.3,0.7,1,0.3,0.7,0.3,0.3,0,1.3,1273920
James Johnson,PF,29,MIA,76,5,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.548,0.535,2,2,0.707,0.9,4.1,4.9,3.6,1,1.1,2.3,2.6,12.8,4000000
Joe Johnson,SF,35,UTA,78,14,23.6,3.5,8,0.436,1.4,3.3,0.411,2.1,4.7,0.454,0.521,0.8,0.8,0.818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,11000000
